sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
154,M,75.5,Central,61.68,Others,Commerce,60.5,Sci&Tech,Yes,68.34,Mkt&HR,61.89,Placed,280992
112,M,61.42,Central,42,Others,Commerce,57.11,Comm&Mgmt,No,75.74,Mkt&Fin,51.21,Placed,237099
1,M,89.4,Central,54.55,Others,Commerce,85.01,Comm&Mgmt,No,50.87,Mkt&Fin,55.5,Placed,200000
1,M,83.23,Central,75.67,Others,Commerce,79.9,Comm&Mgmt,Yes,88.18,Mkt&HR,59.28,Placed,253355
9,M,57.55,Others,51.45,Others,Science,64.35,Sci&Tech,No,78.79,Mkt&Fin,51.21,Placed,
87,M,46.93,Central,37,Central,Commerce,60.11,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,
175,M,74.53,Central,46.48,Central,Commerce,68.41,Comm&Mgmt,Yes,58.71,Mkt&Fin,67.52,Placed,297934
106,M,86.79,Others,38.51,Others,Commerce,78.02,Sci&Tech,No,53.93,Mkt&HR,64.36,Not Placed,273415
215,M,65.37,Central,41.69,Others,Science,70.77,Comm&Mgmt,No,71.2,Mkt&Fin,51.21,Placed,
127,M,83.79,Others,83.41,Central,Commerce,76.91,Comm&Mgmt,No,88.14,Mkt&Fin,66.25,Not Placed,267812
57,M,51.49,Central,54.5,Others,Science,50.27,Comm&Mgmt,No,98,Mkt&HR,54.68,Placed,281270
88,M,71.07,Central,73.51,Central,Commerce,87.5,Comm&Mgmt,Yes,50,Mkt&HR,67.61,Not Placed,
141,F,81.98,Others,50.99,Others,Commerce,66.53,Comm&Mgmt,No,82.14,Mkt&Fin,71.45,Not Placed,204327
155,M,79.42,Others,58.85,Others,Commerce,66.84,Comm&Mgmt,No,69.05,Mkt&Fin,57.28,Placed,200000
8,M,81.83,Central,59.69,Others,Arts,86.55,Comm&Mgmt,No,50,Mkt&Fin,61.41,Placed,200000
85,M,89.4,Central,69.18,Central,Science,81.19,Sci&Tech,Yes,97.43,Mkt&Fin,52.18,Placed,200000
210,F,89.4,Central,94.56,Central,Commerce,88.89,Comm&Mgmt,No,53.84,Mkt&Fin,77.89,Placed,217456
91,F,76.19,Others,59.62,Others,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,52.79,Placed,265856
191,M,75.23,Others,63.04,Others,Science,75.02,Comm&Mgmt,No,50,Mkt&Fin,68.56,Placed,232117
215,M,83.82,Central,62.63,Others,Commerce,73.8,Comm&Mgmt,No,50,Mkt&Fin,58.01,Placed,207581
1,F,81.93,Others,51.88,Central,Commerce,86.82,Comm&Mgmt,No,58.82,Mkt&Fin,77.75,Not Placed,283922
189,F,89.1,Others,37,Others,Commerce,77.24,Comm&Mgmt,No,98,Mkt&Fin,68.02,Placed,217964
215,F,88.04,Others,51.98,Others,Commerce,58.45,Comm&Mgmt,No,84.51,Mkt&Fin,57.64,Not Placed,258905
96,M,77.77,Central,59.66,Others,Commerce,91,Sci&Tech,No,73.84,Mkt&Fin,68,Not Placed,229257
127,M,50.94,Others,54.46,Others,Commerce,89.81,Comm&Mgmt,No,61.68,Mkt&Fin,51.21,Placed,260804
163,M,76.55,Others,37,Others,Commerce,51.17,Comm&Mgmt,Yes,50,Mkt&Fin,65.86,Not Placed,
67,F,70.5,Central,38.23,Central,Commerce,52.39,Comm&Mgmt,No,69.24,Mkt&HR,67.86,Placed,267263
215,M,81.76,Central,37,Others,Commerce,79.53,Comm&Mgmt,No,58.9,Mkt&Fin,70.21,Placed,
182,M,65.13,Central,37,Others,Commerce,50,Comm&Mgmt,No,65.53,Mkt&Fin,51.21,Not Placed,285140
108,M,89.4,Central,64.89,Central,Commerce,84.8,Sci&Tech,No,52.41,Mkt&Fin,64.13,Placed,264896
80,M,78.12,Others,37,Others,Commerce,67.53,Comm&Mgmt,No,51.85,Mkt&Fin,51.21,Placed,278007
1,M,40.89,Central,59.29,Others,Commerce,86.37,Others,No,51.39,Mkt&Fin,51.21,Placed,300645
1,M,40.89,Others,65.05,Others,Science,82,Comm&Mgmt,No,60.54,Mkt&Fin,53.41,Not Placed,
215,F,59.53,Central,47.01,Others,Commerce,54.07,Comm&Mgmt,No,65.18,Mkt&Fin,59.33,Not Placed,
215,F,82.31,Central,66.85,Others,Science,64.67,Comm&Mgmt,No,50,Mkt&Fin,62.27,Not Placed,200035
53,M,79.91,Others,76.98,Others,Science,83.27,Comm&Mgmt,No,50,Mkt&Fin,61.7,Placed,302556
106,F,67.26,Others,41.44,Others,Science,50.85,Comm&Mgmt,Yes,98,Mkt&HR,64.72,Not Placed,265834
3,M,88.12,Central,50.02,Others,Commerce,76.73,Comm&Mgmt,Yes,98,Mkt&HR,51.21,Not Placed,243814
215,F,82.26,Others,41.27,Others,Commerce,54.04,Comm&Mgmt,No,72.41,Mkt&Fin,69.94,Placed,259104
120,M,81.57,Central,37,Others,Commerce,53.68,Comm&Mgmt,No,54.48,Mkt&Fin,53.72,Placed,233619
79,M,75.79,Central,37,Others,Science,57.21,Comm&Mgmt,No,61.79,Mkt&Fin,69,Not Placed,
215,M,88.45,Central,92.24,Others,Commerce,77.18,Comm&Mgmt,Yes,63.81,Mkt&Fin,62.16,Placed,250610
215,M,80.24,Central,55.89,Others,Commerce,56.65,Comm&Mgmt,No,70.06,Mkt&Fin,74.82,Placed,289789
122,M,75.64,Central,57.78,Others,Science,74.26,Comm&Mgmt,No,50,Mkt&Fin,55.75,Not Placed,200000
215,M,71.18,Central,47.48,Others,Commerce,84.59,Comm&Mgmt,No,57.66,Mkt&Fin,67.09,Placed,269597
35,F,86.93,Others,49.05,Others,Commerce,78.87,Sci&Tech,No,82.38,Mkt&Fin,53.35,Placed,200000
100,F,85.67,Others,55.77,Others,Commerce,83.68,Comm&Mgmt,No,98,Mkt&Fin,68.41,Not Placed,205810
19,M,89.4,Central,66.98,Central,Commerce,66.27,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,200000
103,F,74.67,Central,39.59,Others,Commerce,56.83,Comm&Mgmt,No,81.36,Mkt&Fin,51.21,Not Placed,285540
80,M,54.25,Central,51.68,Others,Science,80.06,Comm&Mgmt,No,76.26,Mkt&Fin,77.89,Placed,303981
152,F,57.25,Others,56.68,Others,Science,50,Comm&Mgmt,Yes,57.21,Mkt&Fin,55.27,Placed,264243
136,F,74.38,Central,46.57,Others,Science,59.16,Comm&Mgmt,No,76.87,Mkt&Fin,52.4,Placed,200000
215,F,68.15,Central,56.23,Central,Commerce,75.54,Others,No,77.31,Mkt&Fin,65.62,Not Placed,259275
165,F,85.45,Others,61.58,Others,Commerce,65.64,Comm&Mgmt,No,50,Mkt&Fin,59.48,Not Placed,
156,M,89.4,Central,62.49,Others,Arts,72.97,Comm&Mgmt,Yes,71.33,Mkt&HR,61.63,Not Placed,
25,F,89.4,Others,68.11,Others,Arts,87.52,Comm&Mgmt,Yes,58.09,Mkt&Fin,65.67,Placed,206805
82,F,78.37,Central,37.09,Others,Science,80.19,Comm&Mgmt,No,50.82,Mkt&Fin,74.46,Placed,209713
174,F,85.97,Others,53.04,Others,Arts,63.59,Comm&Mgmt,No,85.25,Mkt&Fin,77.78,Not Placed,266358
1,M,48.98,Central,37,Others,Science,74.63,Comm&Mgmt,No,96.3,Mkt&Fin,51.21,Placed,
77,M,80.74,Others,64.9,Central,Commerce,80.77,Comm&Mgmt,No,60.63,Mkt&HR,59.89,Placed,266473
214,F,57.62,Central,41.1,Central,Commerce,70.61,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,261102
88,M,78.63,Central,37,Others,Science,85.24,Sci&Tech,No,89.02,Mkt&Fin,71.44,Placed,
114,M,78.15,Central,56.37,Others,Commerce,61.16,Comm&Mgmt,No,50.49,Mkt&Fin,64.94,Placed,220142
87,F,78.29,Central,65.94,Others,Commerce,75.85,Comm&Mgmt,No,77,Mkt&Fin,63.18,Not Placed,
215,M,88.98,Others,79.82,Others,Commerce,90.55,Comm&Mgmt,No,70.33,Mkt&Fin,61.12,Placed,254689
1,M,71.73,Central,66.74,Others,Commerce,91,Comm&Mgmt,No,65.74,Mkt&HR,51.21,Placed,212779
214,M,70.99,Central,70.34,Central,Commerce,63.13,Comm&Mgmt,No,50,Mkt&HR,51.21,Not Placed,
187,M,51.61,Others,53.09,Others,Commerce,50,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,
1,M,70.93,Central,37,Others,Science,78.64,Comm&Mgmt,No,71.84,Mkt&Fin,74.75,Placed,302060
146,M,80.2,Central,62.57,Others,Science,82.74,Comm&Mgmt,No,90.49,Mkt&HR,77.21,Placed,200000
215,M,72.35,Central,45.11,Others,Commerce,86.8,Comm&Mgmt,No,54.16,Mkt&Fin,67.36,Placed,288268
158,M,89.4,Central,37,Others,Science,82.75,Comm&Mgmt,No,56.02,Mkt&Fin,77.42,Placed,
79,M,89.4,Central,37,Central,Science,50,Comm&Mgmt,No,84.28,Mkt&Fin,62.57,Placed,208553
